,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.18,scattered clouds,-23.1203,-134.9692,People ThankYou
5,Cabo San Lucas,MX,86.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
6,Hobart,AU,63.27,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
7,East London,ZA,70.32,broken clouds,-33.0153,27.9116,Tu Casa
8,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
9,Ikungi,TZ,61.99,scattered clouds,-5.1333,34.7667,HADEE NIGHT PARK LODGE
10,Cape Town,ZA,68.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
11,Marzuq,YE,64.22,clear sky,14.4,46.4667,
12,Carauari,BR,73.49,very heavy rain,-4.8828,-66.8958,Hotel Fellip
13,Sao Joao Da Barra,BR,77.74,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
15,Busselton,AU,61.47,clear sky,-33.65,115.3333,Observatory Guest House
19,Charters Towers,AU,81.21,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
20,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
21,Bredasdorp,ZA,64.9,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Mataura,NZ,71.1,clear sky,-46.1927,168.8643,Ellie's Villa
30,Bambanglipuro,ID,78.03,broken clouds,-7.95,110.2833,Puri Brata
32,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Atuona,PF,78.82,light rain,-9.8,-139.0333,Villa Enata
35,Buritis,BR,78.17,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
37,Sarangani,PH,81.32,broken clouds,5.4033,125.4636,Ballistic Islet
38,Pisco,PE,68.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
40,San Francisco,US,67.89,overcast clouds,37.7749,-122.4194,Edwardian Hotel
41,San Quintin,MX,62.62,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
42,Tuatapere,NZ,67.46,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
45,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
47,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Chirongui,YT,76.93,broken clouds,-12.9319,45.1483,La Villa Mahatsara
49,Saint-Pierre,RE,77.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
52,Victor Harbor,AU,69.01,clear sky,-35.5667,138.6167,McCracken Country Club
57,Acajutla,SV,82.85,overcast clouds,13.5928,-89.8275,Laureles
61,Palmerston,AU,84.92,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
62,Tubajon,PH,79.21,broken clouds,10.3317,125.5619,Taganas Beach Resort
64,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
65,Hermanus,ZA,62.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Ambulu,ID,78.31,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
68,Mahibadhoo,MV,81.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
69,Chikwawa,MW,73.27,overcast clouds,-16.0335,34.8009,Thawale Lodge
71,Cidahu,ID,72.84,overcast clouds,-6.3113,106.0568,Ponpes El Mayan Nurul Mizan El Ali
72,Te Anau,NZ,70.27,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
75,New Norfolk,AU,62.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
76,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
77,Hithadhoo,MV,81.55,clear sky,-0.6,73.0833,Scoop Guest House
78,Taltal,CL,67.5,few clouds,-25.4,-70.4833,Residencial Karime
79,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
