,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Rikitea,-23.1203,-134.9692,79.18,65,27,8.81,PF,2022-03-28 00:03:35,scattered clouds
1,Kodiak,57.79,-152.4072,33.31,100,100,31.07,US,2022-03-28 00:03:36,heavy snow
2,Yakymivka,46.6897,35.1536,31.28,56,27,8.37,UA,2022-03-28 00:03:36,scattered clouds
3,Dikson,73.5069,80.5464,-18.04,100,26,3.71,RU,2022-03-28 00:03:37,scattered clouds
4,Jamestown,42.097,-79.2353,20.01,61,100,13.8,US,2022-03-27 23:59:03,overcast clouds
5,Cabo San Lucas,22.8909,-109.9124,86.61,21,40,0.0,MX,2022-03-28 00:03:16,scattered clouds
6,Hobart,-42.8794,147.3294,63.27,82,98,3.15,AU,2022-03-28 00:03:38,light rain
7,East London,-33.0153,27.9116,70.32,83,80,19.71,ZA,2022-03-28 00:03:38,broken clouds
8,Noumea,-22.2763,166.4572,84.18,99,26,12.97,NC,2022-03-28 00:03:39,scattered clouds
9,Ikungi,-5.1333,34.7667,61.99,89,50,6.02,TZ,2022-03-28 00:03:40,scattered clouds
10,Cape Town,-33.9258,18.4232,68.11,70,47,7.54,ZA,2022-03-28 00:02:38,scattered clouds
11,Marzuq,14.4,46.4667,64.22,31,5,4.5,YE,2022-03-28 00:03:40,clear sky
12,Carauari,-4.8828,-66.8958,73.49,98,100,2.17,BR,2022-03-28 00:03:41,very heavy rain
13,Sao Joao Da Barra,-21.6403,-41.0511,77.74,90,0,10.58,BR,2022-03-28 00:03:41,clear sky
14,Punta Arenas,-53.15,-70.9167,42.12,75,51,12.15,CL,2022-03-28 00:03:42,broken clouds
15,Busselton,-33.65,115.3333,61.47,64,0,15.48,AU,2022-03-28 00:00:39,clear sky
16,Clive,41.603,-93.7241,39.29,32,20,6.91,US,2022-03-28 00:03:43,few clouds
17,Qaqortoq,60.7167,-46.0333,25.23,73,83,6.15,GL,2022-03-28 00:03:43,broken clouds
18,Upernavik,72.7868,-56.1549,15.33,76,99,3.44,GL,2022-03-28 00:03:44,overcast clouds
19,Charters Towers,-20.1,146.2667,81.21,58,4,2.1,AU,2022-03-28 00:03:45,clear sky
20,Avarua,-21.2078,-159.775,84.25,79,75,8.05,CK,2022-03-27 23:59:12,broken clouds
21,Bredasdorp,-34.5322,20.0403,64.9,73,45,3.6,ZA,2022-03-28 00:03:46,scattered clouds
22,Ushuaia,-54.8,-68.3,47.86,57,20,9.22,AR,2022-03-27 23:59:20,few clouds
23,Yantal,56.8471,105.2542,13.01,93,100,9.91,RU,2022-03-28 00:03:46,overcast clouds
24,Barrow,71.2906,-156.7887,3.22,72,40,19.57,US,2022-03-28 00:03:47,scattered clouds
25,Pervomayskiy,53.2485,40.2871,19.94,82,82,16.71,RU,2022-03-28 00:03:48,broken clouds
26,Los Llanos De Aridane,28.6585,-17.9182,58.75,91,0,5.99,ES,2022-03-28 00:03:48,clear sky
27,Mataura,-46.1927,168.8643,71.1,49,3,1.95,NZ,2022-03-28 00:00:40,clear sky
28,Yellowknife,62.456,-114.3525,18.41,61,100,3.0,CA,2022-03-28 00:03:49,overcast clouds
29,Asau,46.4333,26.4,29.32,56,13,2.46,RO,2022-03-28 00:03:49,few clouds
30,Bambanglipuro,-7.95,110.2833,78.03,85,81,4.65,ID,2022-03-28 00:03:06,broken clouds
31,Nikolskoye,59.7035,30.7861,22.91,93,100,10.4,RU,2022-03-28 00:03:50,light snow
32,Kapaa,22.0752,-159.319,79.12,65,20,5.01,US,2022-03-28 00:03:51,few clouds
33,Ordu,40.9086,37.6845,34.3,88,100,6.17,TR,2022-03-28 00:03:51,light snow
34,Atuona,-9.8,-139.0333,78.82,82,67,13.15,PF,2022-03-28 00:03:52,light rain
35,Buritis,-15.6178,-46.4233,78.17,52,74,2.28,BR,2022-03-28 00:03:52,broken clouds
36,Fairbanks,64.8378,-147.7164,37.02,52,50,3.31,US,2022-03-28 00:00:02,scattered clouds
37,Sarangani,5.4033,125.4636,81.32,75,72,12.39,PH,2022-03-28 00:03:53,broken clouds
38,Pisco,-13.7,-76.2167,68.02,87,50,4.38,PE,2022-03-28 00:03:53,scattered clouds
39,Tasiilaq,65.6145,-37.6368,26.76,75,100,10.8,GL,2022-03-28 00:03:54,overcast clouds
40,San Francisco,37.7749,-122.4194,67.89,63,100,15.01,US,2022-03-27 23:59:56,overcast clouds
41,San Quintin,30.4833,-115.95,62.62,68,59,6.4,MX,2022-03-28 00:03:55,broken clouds
42,Tuatapere,-46.1333,167.6833,67.46,59,2,4.97,NZ,2022-03-28 00:03:56,clear sky
43,Provideniya,64.3833,-173.3,17.71,73,0,2.24,RU,2022-03-28 00:03:56,clear sky
44,Killybegs,54.6333,-8.45,48.27,82,44,4.52,IE,2022-03-28 00:04:57,scattered clouds
45,Butaritari,3.0707,172.7902,81.18,65,86,7.16,KI,2022-03-28 00:03:08,overcast clouds
46,Yar-Sale,66.8333,70.8333,11.97,93,100,15.37,RU,2022-03-28 00:04:58,overcast clouds
47,Mahebourg,-20.4081,57.7,76.24,72,5,6.89,MU,2022-03-28 00:04:58,clear sky
48,Chirongui,-12.9319,45.1483,76.93,76,81,0.56,YT,2022-03-28 00:04:59,broken clouds
49,Saint-Pierre,-21.3393,55.4781,77.29,78,100,5.75,RE,2022-03-28 00:05:00,overcast clouds
50,Abu Kamal,34.4506,40.9171,49.96,56,0,7.76,SY,2022-03-28 00:05:01,clear sky
51,Severo-Kurilsk,50.6789,156.125,33.26,90,81,26.19,RU,2022-03-28 00:05:01,light snow
52,Victor Harbor,-35.5667,138.6167,69.01,81,7,6.08,AU,2022-03-28 00:05:02,clear sky
53,Albany,42.6001,-73.9662,29.35,59,100,3.0,US,2022-03-28 00:00:34,overcast clouds
54,Nanortalik,60.1432,-45.2371,28.42,82,61,4.76,GL,2022-03-28 00:05:04,broken clouds
55,Torbay,47.6666,-52.7314,40.28,90,100,3.0,CA,2022-03-28 00:05:04,light rain
56,Zavodouspenskoye,56.8626,65.0155,17.82,90,100,11.16,RU,2022-03-28 00:05:05,overcast clouds
57,Acajutla,13.5928,-89.8275,82.85,58,88,6.71,SV,2022-03-28 00:05:05,overcast clouds
58,Talnakh,69.4865,88.3972,2.55,97,100,5.26,RU,2022-03-28 00:05:06,overcast clouds
59,Khatanga,71.9667,102.5,-14.04,100,94,6.4,RU,2022-03-28 00:05:07,overcast clouds
60,Najran,17.4924,44.1277,58.71,29,1,2.89,SA,2022-03-28 00:05:07,clear sky
61,Palmerston,-12.486,130.9833,84.92,83,75,4.61,AU,2022-03-28 00:05:08,broken clouds
62,Tubajon,10.3317,125.5619,79.21,82,82,9.84,PH,2022-03-28 00:05:08,broken clouds
63,Zhigansk,66.7697,123.3711,7.93,96,98,3.33,RU,2022-03-28 00:05:09,overcast clouds
64,Yulara,-25.2406,130.9889,78.64,17,67,8.05,AU,2022-03-28 00:05:10,broken clouds
65,Hermanus,-34.4187,19.2345,62.8,66,98,3.04,ZA,2022-03-28 00:01:53,overcast clouds
66,Tiksi,71.6872,128.8694,-1.16,94,100,4.07,RU,2022-03-28 00:00:31,overcast clouds
67,Ambulu,-8.345,113.6058,78.31,82,83,1.95,ID,2022-03-28 00:05:11,broken clouds
68,Mahibadhoo,3.7833,72.9667,81.28,74,99,6.78,MV,2022-03-28 00:05:11,overcast clouds
69,Chikwawa,-16.0335,34.8009,73.27,97,100,5.08,MW,2022-03-28 00:05:12,overcast clouds
70,Ancud,-41.8697,-73.8203,54.23,81,54,14.25,CL,2022-03-28 00:02:09,broken clouds
71,Cidahu,-6.3113,106.0568,72.84,92,94,1.19,ID,2022-03-28 00:05:12,overcast clouds
72,Te Anau,-45.4167,167.7167,70.27,48,4,0.72,NZ,2022-03-28 00:05:13,clear sky
73,Qom,34.6401,50.8764,49.98,30,0,13.35,IR,2022-03-28 00:00:16,clear sky
74,Greenfield,42.9614,-88.0126,30.02,36,0,11.5,US,2022-03-28 00:05:14,clear sky
75,New Norfolk,-42.7826,147.0587,62.92,70,94,2.93,AU,2022-03-28 00:03:06,light rain
76,Nishihara,26.1842,127.7558,63.68,77,75,18.41,JP,2022-03-28 00:05:15,broken clouds
